"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","geo_altitude","on_ground","velocity","true_track","vertical_rate","sensors","baro_altitude","squawk","spi","position_source","category",""
"","'SWR1LK'","'Switzerland'","'1745866448","","","","","True","","","","","","","","","",""
"                  StateVector(dict_values(['e8027c'"," 'LPE2380 '"," 'Chile'","1745866507","1745866507","-58.4179","-34.5562"," None"," True","4.89","109.69"," None"," None"," None"," '5676'"," False","0"," 0]))",""
"                  StateVector(dict_values(['ab1644'"," 'UAL1831 '"," 'United States'","1745866506","1745866506","-84.346","33.6343","883.92"," False","113.71","91.04","15.61"," None","975.36"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b1818'"," 'SWR785B '"," 'Switzerland'","1745866505","1745866507","9.1936","48.688"," None"," True","0","73.12"," None"," None"," None"," '2563'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a798d1'"," 'N589RC  '"," 'United States'","1745866507","1745866507","-123.1313","45.8259","2026.92"," False","87.98","181.01","0"," None","2110.74"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['aa8c39'"," 'UAL1615 '"," 'United States'","1745866455","1745866458","-119.5457","38.223","11277.6"," False","239.96","79.75","0.33"," None","11384.28"," '3304'"," False","0"," 0]))",""
"                  StateVector(dict_values(['408120'"," 'VIR11B  '"," 'United Kingdom'","1745866506","1745866507","-11.2774","53.1616","11582.4"," False","227.35","280.17","0"," None","11757.66"," '1451'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a1b2e1'"," 'N20856  '"," 'United States'","1745866507","1745866507","-122.9389","38.4282","1767.84"," False","55.26","335.82","0.65"," None","1813.56"," '3611'"," False","0"," 0]))",""
"                  StateVector(dict_values(['aa56da'"," ''"," 'United States'","1745866498","1745866500","-123.0726","43.1408","4983.48"," False","172.21","351.41","-11.05"," None","5097.78"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['408124'"," 'EXS4MF  '"," 'United Kingdom'","1745866507","1745866507","27.9272","36.4772","2209.8"," False","143.94","105.97","-8.78"," None","2286"," '7306'"," False","0"," 0]))",""
"                  StateVector(dict_values(['39de4a'"," 'TVF75CX '"," 'France'","1745866507","1745866507","6.2966","46.6171","11567.16"," False","226.1","308.07","-0.65"," None","11742.42"," '1000'"," False","0"," 0]))",""
"                  StateVector(dict_values(['408121'"," 'VIR157L '"," 'United Kingdom'","1745866507","1745866507","-71.0124","42.3701"," None"," True","4.63","317.81"," None"," None"," None"," '2415'"," False","0"," 0]))",""
"                  StateVector(dict_values(['88044e'"," 'AIQ120  '"," 'Thailand'","1745866507","1745866507","87.4271","22.4502","6705.6"," False","155.15","174.1","0.33"," None","7040.88"," '6145'"," False","0"," 0]))",""
"                  StateVector(dict_values(['ade18c'"," 'AAL345  '"," 'United States'","1745866507","1745866507","-99.2938","30.5487","10043.16"," False","248.54","97.49","0"," None","10507.98"," '6774'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a53edd'"," 'GPD437  '"," 'United States'","1745866506","1745866506","-81.8894","27.2039","2529.84"," False","128.85","288.15","0"," None","2689.86"," '4564'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a47551'"," 'N387AF  '"," 'United States'","1745866507","1745866507","-112.092","41.134","1760.22"," False","54.96","35.48","-2.6"," None","1790.7"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['407a38'"," 'NPT903  '"," 'United Kingdom'","1745866485","1745866485","-2.592","49.4337"," None"," True","6.69","185.62"," None"," None"," None"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['7c6b41'"," 'JST176  '"," 'Australia'","1745866507","1745866507","174.42","-36.8664","5676.9"," False","195.51","265.77","3.58"," None","5852.16"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['ad19bc'"," 'EJA943  '"," 'United States'","1745866507","1745866507","-80.133","25.7488","2065.02"," False","138.28","99.64","-0.65"," None","2171.7"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a665b9'"," 'LXJ511  '"," 'United States'","1745866506","1745866506","-90.7186","31.8333","13716"," False","254.7","105.1","0"," None","14180.82"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['ab6fdd'"," 'AAL1562 '"," 'United States'","1745866504","1745866504","-81.7584","37.5128","9144"," False","240.26","179.39","0.33"," None","9547.86"," None"," False","0"," 1]))",""
"                  StateVector(dict_values(['c07d20'"," 'JZA201  '"," 'Canada'","1745866507","1745866507","-81.2347","44.6354","6088.38"," False","150.36","312.64","0.33"," None","6263.64"," '4367'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a4b205'"," 'N401TD  '"," 'United States'","1745866306","1745866306","-74.0057","40.6962","-22.86"," False","26.68","34","-1.95"," None","60.96"," '1200'"," False","0"," 0]))",""
"                  StateVector(dict_values(['738a91'"," 'ABT015  '"," 'Israel'","1745866506","1745866507","34.8034","31.3097","1531.62"," False","138.4","352.95","-0.33"," None","1630.68"," '1313'"," False","0"," 0]))",""
"                  StateVector(dict_values(['80162e'"," 'AIC2506 '"," 'India'","1745866495","1745866495","72.5969","18.8486","4084.32"," False","134.33","20.86","-6.18"," None","4282.44"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['aaf633'"," 'UAL237  '"," 'United States'","1745866506","1745866506","-86.3892","41.2788","6873.24"," False","220.38","321.44","-5.2"," None","7124.7"," '6752'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a808c1'"," 'N617AB  '"," 'United States'","1745866507","1745866507","-74.6667","41.5405","8427.72"," False","109.88","299.45","11.7"," None","8618.22"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['aaa6d8'"," 'N786AH  '"," 'United States'","1745866507","1745866507","-103.8772","37.1316","13700.76"," False","215.89","77.06","0"," None","13929.36"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['aa56d8'"," 'UAL2456 '"," 'United States'","1745866506","1745866507","-79.084","38.0037","10972.8"," False","223.8","237.77","-0.33"," None","11269.98"," '1570'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b1803'"," 'SWR7LW  '"," 'Switzerland'"," None","1745866501"," None"," None"," None"," False","0","315"," None"," None"," None"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a34230'"," ''"," 'United States'","1745866507","1745866507","-78.792","35.8692","137.16"," False","81.12","225.26","14.96"," None","213.36"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a3f2ae'"," 'N35325  '"," 'United States'","1745866507","1745866507","-111.9566","34.3869","3169.92"," False","51.74","197.35","1.95"," None","3230.88"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b1805'"," 'SWR1047 '"," 'Switzerland'","1745866507","1745866507","8.6345","52.6024","9448.8"," False","235.82","206.84","6.18"," None","9677.4"," '1136'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b1806'"," 'SWR829  '"," 'Switzerland'","1745866505","1745866506","8.5589","47.4489","342.9"," True","10.8","154.69"," None"," None"," None"," '1000'"," False","0"," 0]))",""
"                  StateVector(dict_values(['4b1807'"," 'SWR5QB  '"," 'Switzerland'","1745866507","1745866507","4.5749","49.5868","11277.6"," False","243.39","134.06","0"," None","11468.1"," '6372'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a0e278'"," 'N156WL  '"," 'United States'","1745866507","1745866507","-107.1315","38.3674","8229.6"," False","168.83","57.57","-0.65"," None","8267.7"," None"," False","0"," 0]))",""
